category,subcategory,value,unit,figure_type
NCC-H2,CAPEX,337.394687175,billion_USD,grouped_bar
NCC-H2,OPEX,13.495787486999998,billion_USD,grouped_bar
NCC-H2,New Energy,1527.954504997937,billion_USD,grouped_bar
NCC-Electricity,CAPEX,346.50510643,billion_USD,grouped_bar
NCC-Electricity,OPEX,13.8602042572,billion_USD,grouped_bar
NCC-Electricity,New Energy,1210.3698677949844,billion_USD,grouped_bar
Heat_Pump,CAPEX,9.706368,billion_USD,grouped_bar
Heat_Pump,OPEX,0.29119104,billion_USD,grouped_bar
Heat_Pump,New Energy,10.94913010493577,billion_USD,grouped_bar
RDH,CAPEX,163.15033531999998,billion_USD,grouped_bar
RDH,OPEX,4.894510059599999,billion_USD,grouped_bar
RDH,New Energy,207.06271902479187,billion_USD,grouped_bar
