year,category,value,unit,figure_type
2025,shaheen_ncc_h2_flat_coupled,0.0,billion_USD,line
2026,shaheen_ncc_h2_flat_coupled,2.079798,billion_USD,line
2027,shaheen_ncc_h2_flat_coupled,4.29358825,billion_USD,line
2028,shaheen_ncc_h2_flat_coupled,6.57510315,billion_USD,line
2029,shaheen_ncc_h2_flat_coupled,9.0443682,billion_USD,line
2030,shaheen_ncc_h2_flat_coupled,11.6443572,billion_USD,line
2031,shaheen_ncc_h2_flat_coupled,14.74424315,billion_USD,line
2032,shaheen_ncc_h2_flat_coupled,17.78796425,billion_USD,line
2033,shaheen_ncc_h2_flat_coupled,20.7755205,billion_USD,line
2034,shaheen_ncc_h2_flat_coupled,23.9461418,billion_USD,line
2035,shaheen_ncc_h2_flat_coupled,27.3735581,billion_USD,line
2036,shaheen_ncc_h2_flat_coupled,30.82474605,billion_USD,line
2037,shaheen_ncc_h2_flat_coupled,34.317572625,billion_USD,line
2038,shaheen_ncc_h2_flat_coupled,39.955908545,billion_USD,line
2039,shaheen_ncc_h2_flat_coupled,45.48462198,billion_USD,line
2040,shaheen_ncc_h2_flat_coupled,51.14440793,billion_USD,line
2041,shaheen_ncc_h2_flat_coupled,56.689338895,billion_USD,line
2042,shaheen_ncc_h2_flat_coupled,62.335476875,billion_USD,line
2043,shaheen_ncc_h2_flat_coupled,67.95704062,billion_USD,line
2044,shaheen_ncc_h2_flat_coupled,73.64258013,billion_USD,line
2045,shaheen_ncc_h2_flat_coupled,79.328782155,billion_USD,line
2046,shaheen_ncc_h2_flat_coupled,85.093007195,billion_USD,line
2047,shaheen_ncc_h2_flat_coupled,90.901489525,billion_USD,line
2048,shaheen_ncc_h2_flat_coupled,96.628810145,billion_USD,line
2049,shaheen_ncc_h2_flat_coupled,102.45523673,billion_USD,line
2050,shaheen_ncc_h2_flat_coupled,108.18508183,billion_USD,line
2025,shaheen_ncc_h2_flat_decoupled,0.0,billion_USD,line
2026,shaheen_ncc_h2_flat_decoupled,2.079798,billion_USD,line
2027,shaheen_ncc_h2_flat_decoupled,4.24433835,billion_USD,line
2028,shaheen_ncc_h2_flat_decoupled,6.52585325,billion_USD,line
2029,shaheen_ncc_h2_flat_decoupled,8.9643512,billion_USD,line
2030,shaheen_ncc_h2_flat_decoupled,11.5643402,billion_USD,line
2031,shaheen_ncc_h2_flat_decoupled,14.66422615,billion_USD,line
2032,shaheen_ncc_h2_flat_decoupled,17.70794725,billion_USD,line
2033,shaheen_ncc_h2_flat_decoupled,20.6955035,billion_USD,line
2034,shaheen_ncc_h2_flat_decoupled,23.9002407,billion_USD,line
2035,shaheen_ncc_h2_flat_decoupled,27.327657,billion_USD,line
2036,shaheen_ncc_h2_flat_decoupled,30.77884495,billion_USD,line
2037,shaheen_ncc_h2_flat_decoupled,34.417618025,billion_USD,line
2038,shaheen_ncc_h2_flat_decoupled,37.982351225,billion_USD,line
2039,shaheen_ncc_h2_flat_decoupled,43.65105416,billion_USD,line
2040,shaheen_ncc_h2_flat_decoupled,49.20715611,billion_USD,line
2041,shaheen_ncc_h2_flat_decoupled,54.750275825,billion_USD,line
2042,shaheen_ncc_h2_flat_decoupled,60.412529905,billion_USD,line
2043,shaheen_ncc_h2_flat_decoupled,66.061958725,billion_USD,line
2044,shaheen_ncc_h2_flat_decoupled,71.754429285,billion_USD,line
2045,shaheen_ncc_h2_flat_decoupled,77.447397335,billion_USD,line
