year,category,value,unit,figure_type
2025,BTX,34.50250024037068,MtCO2_per_yr,stacked_area
2025,Butadiene,29.707522591272262,MtCO2_per_yr,stacked_area
2025,Downstream,119.02133358250147,MtCO2_per_yr,stacked_area
2025,Ethylene,162.32442513363796,MtCO2_per_yr,stacked_area
2025,Propylene,128.42313426056393,MtCO2_per_yr,stacked_area
2026,BTX,39.07844640853307,MtCO2_per_yr,stacked_area
2026,Butadiene,32.80716518672559,MtCO2_per_yr,stacked_area
2026,Downstream,131.5038210033532,MtCO2_per_yr,stacked_area
2026,Ethylene,141.11549872476814,MtCO2_per_yr,stacked_area
2026,Propylene,147.4308024934754,MtCO2_per_yr,stacked_area
2027,BTX,38.72753735316013,MtCO2_per_yr,stacked_area
2027,Butadiene,32.64246297690961,MtCO2_per_yr,stacked_area
2027,Downstream,126.13310838682973,MtCO2_per_yr,stacked_area
2027,Ethylene,137.17059881703776,MtCO2_per_yr,stacked_area
2027,Propylene,147.1750005873023,MtCO2_per_yr,stacked_area
2028,BTX,38.37662829778719,MtCO2_per_yr,stacked_area
2028,Butadiene,32.47776076709364,MtCO2_per_yr,stacked_area
2028,Downstream,120.76239577030626,MtCO2_per_yr,stacked_area
2028,Ethylene,131.5519416242555,MtCO2_per_yr,stacked_area
2028,Propylene,146.91919868112916,MtCO2_per_yr,stacked_area
2029,BTX,38.025719242414254,MtCO2_per_yr,stacked_area
2029,Butadiene,32.242809001328794,MtCO2_per_yr,stacked_area
2029,Downstream,115.3916831537828,MtCO2_per_yr,stacked_area
2029,Ethylene,124.73940074784501,MtCO2_per_yr,stacked_area
2029,Propylene,146.66339677495606,MtCO2_per_yr,stacked_area
2030,BTX,37.67481018704131,MtCO2_per_yr,stacked_area
2030,Butadiene,31.396535224000484,MtCO2_per_yr,stacked_area
2030,Downstream,110.02097053725933,MtCO2_per_yr,stacked_area
2030,Ethylene,113.77095886908086,MtCO2_per_yr,stacked_area
2030,Propylene,146.40759486878295,MtCO2_per_yr,stacked_area
2031,BTX,37.39448628648477,MtCO2_per_yr,stacked_area
2031,Butadiene,30.720488930617528,MtCO2_per_yr,stacked_area
2031,Downstream,105.7305736769331,MtCO2_per_yr,stacked_area
2031,Ethylene,94.32901639734698,MtCO2_per_yr,stacked_area
2031,Propylene,146.20324736902396,MtCO2_per_yr,stacked_area
2032,BTX,37.11416238592824,MtCO2_per_yr,stacked_area
2032,Butadiene,30.044442637234564,MtCO2_per_yr,stacked_area
2032,Downstream,101.4401768166069,MtCO2_per_yr,stacked_area
2032,Ethylene,90.4288081745086,MtCO2_per_yr,stacked_area
2032,Propylene,143.7732255901098,MtCO2_per_yr,stacked_area
2033,BTX,36.83383848537169,MtCO2_per_yr,stacked_area
2033,Butadiene,29.368396343851607,MtCO2_per_yr,stacked_area
2033,Downstream,97.14977995628068,MtCO2_per_yr,stacked_area
2033,Ethylene,86.25164735975855,MtCO2_per_yr,stacked_area
2033,Propylene,140.6083012748158,MtCO2_per_yr,stacked_area
2034,BTX,36.553514584815154,MtCO2_per_yr,stacked_area
2034,Butadiene,21.36095360764755,MtCO2_per_yr,stacked_area
2034,Downstream,92.85938309595444,MtCO2_per_yr,stacked_area
2034,Ethylene,82.35025491491427,MtCO2_per_yr,stacked_area
2034,Propylene,137.44337695952183,MtCO2_per_yr,stacked_area
2035,BTX,36.27319068425861,MtCO2_per_yr,stacked_area
2035,Butadiene,14.687222941549372,MtCO2_per_yr,stacked_area
2035,Downstream,88.56898623562823,MtCO2_per_yr,stacked_area
2035,Ethylene,78.44886247007003,MtCO2_per_yr,stacked_area
2035,Propylene,130.79743283589417,MtCO2_per_yr,stacked_area
2036,BTX,35.71052616443648,MtCO2_per_yr,stacked_area
2036,Butadiene,13.221128057580756,MtCO2_per_yr,stacked_area
2036,Downstream,79.95732635051301,MtCO2_per_yr,stacked_area
2036,Ethylene,70.61801000883582,MtCO2_per_yr,stacked_area
2036,Propylene,122.56021116686925,MtCO2_per_yr,stacked_area
2037,BTX,35.14584492590532,MtCO2_per_yr,stacked_area
2037,Butadiene,11.749778353239495,MtCO2_per_yr,stacked_area
2037,Downstream,71.31480030093502,MtCO2_per_yr,stacked_area
2037,Ethylene,62.75908997605601,MtCO2_per_yr,stacked_area
2037,Propylene,111.07864450884561,MtCO2_per_yr,stacked_area
2038,BTX,34.284122454975716,MtCO2_per_yr,stacked_area
2038,Butadiene,10.283683469270883,MtCO2_per_yr,stacked_area
2038,Downstream,62.656881634738724,MtCO2_per_yr,stacked_area
2038,Ethylene,54.92823751482183,MtCO2_per_yr,stacked_area
2038,Propylene,101.33779731319926,MtCO2_per_yr,stacked_area
2039,BTX,29.83979376145456,MtCO2_per_yr,stacked_area
2039,Butadiene,8.81758858530227,MtCO2_per_yr,stacked_area
2039,Downstream,53.8880052496235,MtCO2_per_yr,stacked_area
2039,Ethylene,47.097385053587644,MtCO2_per_yr,stacked_area
2039,Propylene,91.87128535030566,MtCO2_per_yr,stacked_area
2040,BTX,25.499587511770383,MtCO2_per_yr,stacked_area
2040,Butadiene,7.3462388809610095,MtCO2_per_yr,stacked_area
2040,Downstream,45.08769920004551,MtCO2_per_yr,stacked_area
2040,Ethylene,39.23846502080782,MtCO2_per_yr,stacked_area
2040,Propylene,81.98482885383689,MtCO2_per_yr,stacked_area
2041,BTX,23.34498512353431,MtCO2_per_yr,stacked_area
2041,Butadiene,6.615818849163027,MtCO2_per_yr,stacked_area
2041,Downstream,40.718975839719285,MtCO2_per_yr,stacked_area
2041,Ethylene,35.33707257596357,MtCO2_per_yr,stacked_area
2041,Propylene,76.06811485257846,MtCO2_per_yr,stacked_area
2042,BTX,21.174881998692218,MtCO2_per_yr,stacked_area
2042,Butadiene,5.880143996992396,MtCO2_per_yr,stacked_area
2042,Downstream,36.31882281493029,MtCO2_per_yr,stacked_area
2042,Ethylene,31.407612559573646,MtCO2_per_yr,stacked_area
2042,Propylene,65.96868593485024,MtCO2_per_yr,stacked_area
2043,BTX,19.004778873850128,MtCO2_per_yr,stacked_area
2043,Butadiene,5.144469144821765,MtCO2_per_yr,stacked_area
2043,Downstream,31.918669790141287,MtCO2_per_yr,stacked_area
2043,Ethylene,27.478152543183736,MtCO2_per_yr,stacked_area
2043,Propylene,57.865861983011136,MtCO2_per_yr,stacked_area
2044,BTX,16.850176485614057,MtCO2_per_yr,stacked_area
2044,Butadiene,4.414049113023782,MtCO2_per_yr,stacked_area
2044,Downstream,27.549946429815073,MtCO2_per_yr,stacked_area
2044,Ethylene,23.576760098339467,MtCO2_per_yr,stacked_area
2044,Propylene,46.84590972626733,MtCO2_per_yr,stacked_area
2045,BTX,14.680073360771967,MtCO2_per_yr,stacked_area
2045,Butadiene,3.6783742608531522,MtCO2_per_yr,stacked_area
2045,Downstream,23.149793405026074,MtCO2_per_yr,stacked_area
2045,Ethylene,19.64730008194956,MtCO2_per_yr,stacked_area
2045,Propylene,39.21612514149553,MtCO2_per_yr,stacked_area
2046,BTX,12.50997023592988,MtCO2_per_yr,stacked_area
2046,Butadiene,2.9426994086825213,MtCO2_per_yr,stacked_area
2046,Downstream,18.74964038023707,MtCO2_per_yr,stacked_area
2046,Ethylene,15.717840065559644,MtCO2_per_yr,stacked_area
2046,Propylene,27.727584011846464,MtCO2_per_yr,stacked_area
2047,BTX,10.33986711108779,MtCO2_per_yr,stacked_area
2047,Butadiene,2.207024556511891,MtCO2_per_yr,stacked_area
2047,Downstream,14.349487355448074,MtCO2_per_yr,stacked_area
2047,Ethylene,11.788380049169733,MtCO2_per_yr,stacked_area
2047,Propylene,19.600715546062315,MtCO2_per_yr,stacked_area
2048,BTX,7.25254644474669,MtCO2_per_yr,stacked_area
2048,Butadiene,1.4713497043412607,MtCO2_per_yr,stacked_area
2048,Downstream,9.662077260388806,MtCO2_per_yr,stacked_area
2048,Ethylene,7.858920032779822,MtCO2_per_yr,stacked_area
2048,Propylene,12.477834617084083,MtCO2_per_yr,stacked_area
2049,BTX,3.749091105278855,MtCO2_per_yr,stacked_area
2049,Butadiene,0.7356748521706303,MtCO2_per_yr,stacked_area
2049,Downstream,5.261924235599809,MtCO2_per_yr,stacked_area
2049,Ethylene,3.929460016389911,MtCO2_per_yr,stacked_area
2049,Propylene,5.218195242569519,MtCO2_per_yr,stacked_area
2050,BTX,0.0,MtCO2_per_yr,stacked_area
2050,Butadiene,0.0,MtCO2_per_yr,stacked_area
2050,Downstream,0.0,MtCO2_per_yr,stacked_area
2050,Ethylene,0.0,MtCO2_per_yr,stacked_area
2050,Propylene,0.0,MtCO2_per_yr,stacked_area
