year,category,value,unit,scenario,figure_type
2025,Daehan Oil Chemical,2.701027810132496,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2026,Daehan Oil Chemical,3.0881772207045537,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2027,Daehan Oil Chemical,3.0701724597567375,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2028,Daehan Oil Chemical,3.0521676988089212,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2029,Daehan Oil Chemical,3.015629042468212,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2030,Daehan Oil Chemical,2.9159026693359817,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2031,Daehan Oil Chemical,2.836236198845293,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2032,Daehan Oil Chemical,2.7304621121768298,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2033,Daehan Oil Chemical,2.6160674678968747,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2034,Daehan Oil Chemical,2.5016728236169183,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2035,Daehan Oil Chemical,2.3872781793369624,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2036,Daehan Oil Chemical,2.1576659077246756,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2037,Daehan Oil Chemical,1.927230653060016,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2038,Daehan Oil Chemical,1.6962589467701767,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2039,Daehan Oil Chemical,1.4544315343282352,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2040,Daehan Oil Chemical,1.2117373569671472,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2041,Daehan Oil Chemical,1.0912570332057498,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2042,Daehan Oil Chemical,0.9699099445252057,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2043,Daehan Oil Chemical,0.8485628558446617,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2044,Daehan Oil Chemical,0.7280825320832645,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2045,Daehan Oil Chemical,0.6067354434027205,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2046,Daehan Oil Chemical,0.4853883547221763,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2047,Daehan Oil Chemical,0.3640412660416323,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2048,Daehan Oil Chemical,0.24269417736108814,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2049,Daehan Oil Chemical,0.12134708868054407,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2050,Daehan Oil Chemical,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2025,GS Caltex,3.6331937884299026,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2026,GS Caltex,4.143723312141414,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2027,GS Caltex,4.109273767588439,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2028,GS Caltex,4.074824223035465,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2029,GS Caltex,4.02301160902208,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2030,GS Caltex,3.9181999784098975,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2031,GS Caltex,3.8344711470587867,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2032,GS Caltex,3.7055201948283183,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2033,GS Caltex,3.5616372053065137,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2034,GS Caltex,3.417754215784708,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2035,GS Caltex,3.2738712262629033,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2036,GS Caltex,2.9850701177982724,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2037,GS Caltex,2.6952338799126214,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
2038,GS Caltex,2.400487086187258,MtCO2_per_yr,shaheen_ncc_elec_rising_coupled,line
