year,category,value,unit,scenario,figure_type
2025,Daehan Oil Chemical,2.701027810132496,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2026,Daehan Oil Chemical,1.7655219094217662,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2027,Daehan Oil Chemical,1.740186562414742,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2028,Daehan Oil Chemical,1.7148512154077176,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2029,Daehan Oil Chemical,1.6895158684006935,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2030,Daehan Oil Chemical,1.6641805213936691,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2031,Daehan Oil Chemical,1.6439413648765635,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2032,Daehan Oil Chemical,1.6237022083594579,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2033,Daehan Oil Chemical,1.6034630518423523,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2034,Daehan Oil Chemical,1.5832238953252467,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2035,Daehan Oil Chemical,1.3408333918825357,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2036,Daehan Oil Chemical,1.2983904958256847,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2037,Daehan Oil Chemical,1.2557954746933608,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2038,Daehan Oil Chemical,1.2133525786365096,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2039,Daehan Oil Chemical,1.15733510707245,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2040,Daehan Oil Chemical,1.1024811632436977,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2041,Daehan Oil Chemical,1.0752500982715674,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2042,Daehan Oil Chemical,1.0478231263571913,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2043,Daehan Oil Chemical,1.0203961544428153,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2044,Daehan Oil Chemical,0.9931650894706848,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2045,Daehan Oil Chemical,0.15424494340272038,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2046,Daehan Oil Chemical,0.12339595472217631,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2047,Daehan Oil Chemical,0.09254696604163223,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2048,Daehan Oil Chemical,0.061697977361088154,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2049,Daehan Oil Chemical,0.030848988680544077,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2050,Daehan Oil Chemical,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2025,GS Caltex,3.6331937884299026,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2026,GS Caltex,2.821068000858626,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2027,GS Caltex,2.779287870246444,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2028,GS Caltex,2.7375077396342617,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2029,GS Caltex,2.69572760902208,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2030,GS Caltex,2.6539474784098975,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2031,GS Caltex,2.6205713970587867,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2032,GS Caltex,2.587195315707676,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2033,GS Caltex,2.5538192343565655,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2034,GS Caltex,2.5204431530054547,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2035,GS Caltex,2.4870670716543435,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2036,GS Caltex,2.4200747932589484,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2037,GS Caltex,2.3528423991703793,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2038,GS Caltex,2.2858501207749837,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2039,GS Caltex,2.159487462289545,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2040,GS Caltex,2.038638887010269,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2041,GS Caltex,1.9786462014251998,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2042,GS Caltex,1.918221913785562,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2043,GS Caltex,1.8577976261459241,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2044,GS Caltex,0.3981102572290735,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2045,GS Caltex,0.3317585476908946,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2046,GS Caltex,0.26540683815271565,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2047,GS Caltex,0.19905512861453675,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2048,GS Caltex,0.13270341907635783,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2049,GS Caltex,0.06635170953817891,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2050,GS Caltex,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2025,HD Hyundai Chemical,3.472213629032109,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2026,HD Hyundai Chemical,2.700354838356542,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2027,HD Hyundai Chemical,2.649915132703984,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2028,HD Hyundai Chemical,2.5994754270514258,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2029,HD Hyundai Chemical,2.549035721398868,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2030,HD Hyundai Chemical,2.49859601574631,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2031,HD Hyundai Chemical,2.4583022278974274,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2032,HD Hyundai Chemical,2.418008440048545,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2033,HD Hyundai Chemical,2.377714652199663,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2034,HD Hyundai Chemical,2.09041432855503,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2035,HD Hyundai Chemical,2.0491087919205713,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2036,HD Hyundai Chemical,1.3484072844219588,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2037,HD Hyundai Chemical,1.2596899955936987,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2038,HD Hyundai Chemical,1.1712895542255395,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2039,HD Hyundai Chemical,0.996922685393005,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2040,HD Hyundai Chemical,0.830570866614673,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2041,HD Hyundai Chemical,0.7479890708640009,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2042,HD Hyundai Chemical,0.6648131614748348,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2043,HD Hyundai Chemical,0.5816372520856686,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2044,HD Hyundai Chemical,0.4990554563349966,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2045,HD Hyundai Chemical,0.4158795469458305,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2046,HD Hyundai Chemical,0.33270363755666443,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2047,HD Hyundai Chemical,0.2495277281674983,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2048,HD Hyundai Chemical,0.16635181877833222,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2049,HD Hyundai Chemical,0.08317590938916611,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2050,HD Hyundai Chemical,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2025,Hanwha TotalEnergies,5.2081598308837505,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2026,Hanwha TotalEnergies,3.694689994546019,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2027,Hanwha TotalEnergies,3.628740856871233,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2028,Hanwha TotalEnergies,3.5627917191964475,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2029,Hanwha TotalEnergies,3.4968425815216624,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2030,Hanwha TotalEnergies,3.430893443846877,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2031,Hanwha TotalEnergies,3.378209937313571,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2032,Hanwha TotalEnergies,3.325526430780265,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2033,Hanwha TotalEnergies,3.2728429242469597,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2034,Hanwha TotalEnergies,2.992852789680755,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2035,Hanwha TotalEnergies,2.939238225982809,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2036,Hanwha TotalEnergies,2.831623382301319,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2037,Hanwha TotalEnergies,2.723622822334233,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2038,Hanwha TotalEnergies,2.616007978652743,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2039,Hanwha TotalEnergies,0.9672452578856378,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2040,Hanwha TotalEnergies,0.8058455724220034,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2041,Hanwha TotalEnergies,0.7257221571382707,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2042,Hanwha TotalEnergies,0.6450223144064533,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2043,Hanwha TotalEnergies,0.5643224716746361,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2044,Hanwha TotalEnergies,0.4841990563909034,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2045,Hanwha TotalEnergies,0.40349921365908614,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2046,Hanwha TotalEnergies,0.32279937092726885,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2047,Hanwha TotalEnergies,0.2420995281954517,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2048,Hanwha TotalEnergies,0.16139968546363442,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2049,Hanwha TotalEnergies,0.08069984273181721,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2050,Hanwha TotalEnergies,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2025,LG Chem,10.050786054717834,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2026,LG Chem,7.989458907005194,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2027,LG Chem,7.825743417497033,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2028,LG Chem,7.662027927988871,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2029,LG Chem,7.498312438480712,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2030,LG Chem,7.334596948972551,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2031,LG Chem,7.203812736089594,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2032,LG Chem,7.073028523206638,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2033,LG Chem,6.942244310323683,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2034,LG Chem,6.044679072209747,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2035,LG Chem,5.910754093158069,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2036,LG Chem,5.641940645996787,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2037,LG Chem,3.5754969417001723,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2038,LG Chem,3.29085230217806,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2039,LG Chem,2.9612768180209055,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2040,LG Chem,2.6350358160357157,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2041,LG Chem,2.4730804614787827,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2042,LG Chem,2.309959960486188,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2043,LG Chem,2.1468394594935933,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2044,LG Chem,1.0036548423947924,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2045,LG Chem,0.8363790353289938,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2046,LG Chem,0.6691032282631949,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2047,LG Chem,0.5018274211973962,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2048,LG Chem,0.33455161413159745,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2049,LG Chem,0.16727580706579873,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2050,LG Chem,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2025,Lotte Chemical,7.838367263992788,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2026,Lotte Chemical,8.91384884709732,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2027,Lotte Chemical,8.813575340602938,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2028,Lotte Chemical,7.078803909951526,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2029,Lotte Chemical,5.1318864700111035,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2030,Lotte Chemical,5.012634890718992,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2031,Lotte Chemical,4.917370698066098,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
2032,Lotte Chemical,4.822106505413204,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,line
