year,category,value,unit,scenario,figure_type
2025,LG Chem,10.050786054717834,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,LG Chem,7.989458907005194,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,LG Chem,7.825743417497033,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,LG Chem,7.662027927988871,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,LG Chem,7.498312438480712,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,LG Chem,7.334596948972551,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,LG Chem,7.203812736089594,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,LG Chem,7.073028523206638,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,LG Chem,6.942244310323683,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2034,LG Chem,6.347754576253611,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2035,LG Chem,5.910754093158069,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2036,LG Chem,5.641940645996787,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2037,LG Chem,5.37216370977758,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2038,LG Chem,3.29085230217806,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2039,LG Chem,3.0062076626559477,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2040,LG Chem,2.7205427914509603,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2041,LG Chem,2.5787305875313415,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2042,LG Chem,2.435898151928848,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2043,LG Chem,1.315962079100025,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2044,LG Chem,1.1700242498648679,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2045,LG Chem,1.0230365081891704,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2046,LG Chem,0.8760487665134725,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2047,LG Chem,0.7290610248377748,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2048,LG Chem,0.5645691316067524,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2049,LG Chem,0.16727580706579873,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2050,LG Chem,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2025,Lotte Chemical,7.838367263992788,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2026,Lotte Chemical,5.489641207887438,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2027,Lotte Chemical,5.370389628595327,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2028,Lotte Chemical,5.251138049303215,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2029,Lotte Chemical,5.1318864700111035,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2030,Lotte Chemical,5.012634890718992,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2031,Lotte Chemical,4.917370698066098,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2032,Lotte Chemical,4.822106505413204,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
2033,Lotte Chemical,4.726842312760311,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,line
