year,category,value,unit,scenario,figure_type
2025,BTX Extraction,0.058244542124387406,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2026,BTX Extraction,0.03448289207141187,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2027,BTX Extraction,0.033049537264812336,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2028,BTX Extraction,0.0316161824582128,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2029,BTX Extraction,0.03018282765161326,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2030,BTX Extraction,0.02874947284501372,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2031,BTX Extraction,0.02760443653399455,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2032,BTX Extraction,0.02645940022297538,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2033,BTX Extraction,0.02531436391195621,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2034,BTX Extraction,0.024169327600937034,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2035,BTX Extraction,0.023024291289917863,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2036,BTX Extraction,0.020725980996577225,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2037,BTX Extraction,0.01841943303193429,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2038,BTX Extraction,0.016121122738593657,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2039,BTX Extraction,0.013822812445253015,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2040,BTX Extraction,0.011516264480610081,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2041,BTX Extraction,0.010371228169590912,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2042,BTX Extraction,0.009217954187269445,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2043,BTX Extraction,0.008064680204947975,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2044,BTX Extraction,0.006919643893928805,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2045,BTX Extraction,0.005766369911607337,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2046,BTX Extraction,0.00461309592928587,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2047,BTX Extraction,0.0034598219469644024,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2048,BTX Extraction,0.002306547964642935,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2049,BTX Extraction,0.0011532739823214675,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2050,BTX Extraction,0.0,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2025,BTX Plant,4.255428065767794,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2026,BTX Plant,4.851272525679193,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2027,BTX Plant,4.808802775725425,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2028,BTX Plant,4.766333025771656,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2029,BTX Plant,4.723863275817888,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2030,BTX Plant,4.681393525864119,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2031,BTX Plant,4.64746654170565,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2032,BTX Plant,4.613539557547179,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2033,BTX Plant,4.57961257338871,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2034,BTX Plant,4.5456855892302395,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2035,BTX Plant,4.511758605071769,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2036,BTX Plant,4.443660557732105,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2037,BTX Plant,4.37531843136972,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2038,BTX Plant,4.24740879380856,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2039,BTX Plant,3.6418763188608905,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2040,BTX Plant,3.0341734766195025,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2041,BTX Plant,2.732492422792528,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2042,BTX Plant,2.4286410016718336,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2043,BTX Plant,2.124789580551139,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2044,BTX Plant,1.8231085267241647,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2045,BTX Plant,1.5192571056034705,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2046,BTX Plant,1.2154056844827763,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2047,BTX Plant,0.9115542633620822,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2048,BTX Plant,0.6077028422413882,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2049,BTX Plant,0.3038514211206941,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2050,BTX Plant,0.0,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2025,Extraction,0.3107481442601701,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2026,Extraction,0.20007103936438475,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2027,Extraction,0.19175466075726508,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2028,Extraction,0.18343828215014538,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2029,Extraction,0.17512190354302573,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2030,Extraction,0.16680552493590606,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2031,Extraction,0.16016198110608057,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2032,Extraction,0.15351843727625508,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2033,Extraction,0.1468748934464296,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2034,Extraction,0.1402313496166041,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2035,Extraction,0.13358780578677865,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2036,Extraction,0.1202529228477764,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2037,Extraction,0.1068702446294229,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2038,Extraction,0.09353536169042069,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
2039,Extraction,0.08020047875141845,MtCO2_per_yr,shaheen_ncc_elec_flat_coupled,stacked_area
