year,category,value,unit,scenario,figure_type
2025,Yeosu,22.409780310492522,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2026,Yeosu,25.465535913118828,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2027,Yeosu,25.159824469171255,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2028,Yeosu,24.85411302522368,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2029,Yeosu,24.434365313298755,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2030,Yeosu,23.61574387344396,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2031,Yeosu,22.961787665743874,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2032,Yeosu,22.11202433671048,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2033,Yeosu,21.197606825590885,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2034,Yeosu,20.283189314471294,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2035,Yeosu,19.3687718033517,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2036,Yeosu,17.53335823786705,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2037,Yeosu,15.69136612913693,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2038,Yeosu,13.840619295449157,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2039,Yeosu,11.867429319245623,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2040,Yeosu,9.887166977535983,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2041,Yeosu,8.904108172187271,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2042,Yeosu,7.91397700133245,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
2043,Yeosu,6.923845830477631,MtCO2_per_yr,shaheen_ncc_elec_flat_decoupled,stacked_area
