year,category,value,unit,scenario,figure_type
2025,Yeosu,22.409780310492522,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Yeosu,22.14420146478649,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Yeosu,20.490096207392693,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Yeosu,20.158646261281678,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Yeosu,19.82719631517066,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Yeosu,19.495746369059646,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Yeosu,15.78357849927849,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Yeosu,15.503931677122148,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Yeosu,15.224284854965806,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Yeosu,14.061172938521594,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Yeosu,12.959294909943505,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,Yeosu,12.384023158624613,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,Yeosu,11.80668950138702,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,Yeosu,9.418919789629891,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,Yeosu,8.827816845950169,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,Yeosu,8.234595253726793,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,Yeosu,7.940103106158761,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,Yeosu,7.643492310047073,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,Yeosu,7.346881513935385,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,Yeosu,4.727741804668898,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,Yeosu,4.4212865996102515,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,Yeosu,2.2390712497380933,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,Yeosu,1.9247392953730353,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,Yeosu,1.5103419412833714,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,Yeosu,0.7247877014704679,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,Yeosu,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2025,Daesan,17.217485657279862,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Daesan,12.587546072320634,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Daesan,12.353512042038975,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Daesan,12.119478011757314,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Daesan,11.885443981475655,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Daesan,11.651409951193994,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Daesan,11.464451731601175,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Daesan,11.277493512008354,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Daesan,11.090535292415534,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Daesan,10.388348715948142,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Daesan,8.202403140600834,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
