year,category,value,unit,scenario,figure_type
2025,Baseline,59.247364476043295,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2026,Baseline,66.93564552785877,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2027,Baseline,66.16116349760999,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2028,Baseline,65.38668146736121,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2029,Baseline,37.47991706874253,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2030,Baseline,36.73417247629043,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2031,Baseline,36.13843398002124,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2032,Baseline,17.292833000093914,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2033,Baseline,16.72263794129459,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2034,Baseline,16.152442882495265,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2035,Baseline,15.582247823695937,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2036,Baseline,14.437755583372109,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2037,Baseline,13.289161220323107,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2038,Baseline,7.46426942146178,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2039,Baseline,6.400124726220167,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2040,Baseline,5.332165892285932,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2041,Baseline,4.802000614011437,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2042,Baseline,4.268021197044319,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2043,Baseline,3.734041780077201,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2044,Baseline,3.203876501802706,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2045,Baseline,2.669897084835588,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2046,Baseline,2.1359176678684704,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2047,Baseline,1.601938250901353,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2048,Baseline,1.0679588339342352,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2049,Baseline,0.5339794169671176,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2050,Baseline,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2025,NCC-Electricity,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2026,NCC-Electricity,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2027,NCC-Electricity,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2028,NCC-Electricity,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2029,NCC-Electricity,26.849219355033604,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2030,NCC-Electricity,25.574174549417922,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2031,NCC-Electricity,24.555604273667466,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2032,NCC-Electricity,41.23047791178633,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2033,NCC-Electricity,39.44621999468226,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2034,NCC-Electricity,37.66196207757818,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2035,NCC-Electricity,35.87770416047411,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2036,NCC-Electricity,32.29635193837311,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2037,NCC-Electricity,28.70216332837928,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2038,NCC-Electricity,25.482869541523712,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2039,NCC-Electricity,21.849900404024932,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2040,NCC-Electricity,18.20390987176809,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2041,NCC-Electricity,16.39393600039773,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2042,NCC-Electricity,14.570940734269309,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2043,NCC-Electricity,12.747945468140887,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2044,NCC-Electricity,10.937971596770527,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2045,NCC-Electricity,9.114976330642106,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2046,NCC-Electricity,7.291981064513684,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2047,NCC-Electricity,5.468985798385264,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2048,NCC-Electricity,3.645990532256842,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2049,NCC-Electricity,1.822995266128421,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2050,NCC-Electricity,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2025,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2026,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2027,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2028,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2029,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2030,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2031,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2032,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2033,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2034,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2035,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2036,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2037,RDH,0.0,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2038,RDH,4.246964837800309,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2039,RDH,3.641495655507879,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
2040,RDH,3.0338563327771246,MtCO2_per_yr,shaheen_ncc_elec_rising_decoupled,stacked_area
