year,category,value,unit,scenario,figure_type
2025,Baseline,59.247364476043295,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2026,Baseline,52.86405346606046,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2027,Baseline,52.09950825194803,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2028,Baseline,49.47380827895804,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2029,Baseline,46.63094146499988,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2030,Baseline,45.86918406324117,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2031,Baseline,39.98036998547688,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2032,Baseline,39.374828476166506,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2033,Baseline,38.76928696685614,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2034,Baseline,35.994609110491055,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2035,Baseline,32.99413805228635,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2036,Baseline,31.11573006613692,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2037,Baseline,27.951481370330693,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2038,Baseline,26.765388385615122,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2039,Baseline,19.73871747647352,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2040,Baseline,18.62123900697172,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2041,Baseline,17.242022195375974,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2042,Baseline,15.531872365657772,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2043,Baseline,13.390077914030885,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2044,Baseline,10.377664669105679,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2045,Baseline,8.992975732059323,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2046,Baseline,7.55117023344171,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2047,Baseline,4.744725202529779,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2048,Baseline,2.287627961127638,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2049,Baseline,1.7461336049403342,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2050,Baseline,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2025,NCC-H2,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2026,NCC-H2,1.866422772683246,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2027,NCC-H2,1.7888409374116538,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2028,NCC-H2,1.9379159368605996,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2029,NCC-H2,2.0920117679887023,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2030,NCC-H2,1.9926640475656576,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2031,NCC-H2,2.4758660536808876,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2032,NCC-H2,2.3731667455753533,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2033,NCC-H2,2.27046743746982,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2034,NCC-H2,2.4487440862257297,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2035,NCC-H2,2.61803849765804,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2036,NCC-H2,2.423702735360942,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2037,NCC-H2,2.3256074191883243,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2038,NCC-H2,2.035426529226991,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2039,NCC-H2,1.850664799140294,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2040,NCC-H2,1.5418530328951914,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2041,NCC-H2,1.42943602650194,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2042,NCC-H2,1.3213589246287925,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2043,NCC-H2,1.2173730185090452,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2044,NCC-H2,1.1263653376858112,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2045,NCC-H2,0.9617835727329418,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2046,NCC-H2,0.7892661078961529,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2047,NCC-H2,0.6296441553707334,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2048,NCC-H2,0.4410734309770984,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2049,NCC-H2,0.2205367154885492,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2050,NCC-H2,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2025,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2026,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2027,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2028,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2029,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2030,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2031,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2032,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2033,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2034,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2035,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
2036,RDH,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_coupled,stacked_area
