year,category,value,unit,scenario,figure_type
2025,Baseline,59.247364476043295,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Baseline,53.8976080907079,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Baseline,51.60849319821631,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Baseline,49.32153198050442,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Baseline,48.55841058471857,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Baseline,44.75407056941974,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Baseline,40.28769702116704,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Baseline,39.681981553796085,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Baseline,38.76928696685614,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Baseline,36.173919739501194,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Baseline,32.13534434096803,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,Baseline,30.94415221503055,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,Baseline,28.991652161641642,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,Baseline,25.83989261985278,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,Baseline,24.656432974285508,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,Baseline,21.860974206631926,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,Baseline,20.119401447042737,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,Baseline,17.35904587984834,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,Baseline,15.128094472409067,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,Baseline,12.143333078702222,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
