year,category,value,unit,panel,figure_type
2025,Electricity Rising,100.0,USD_per_MWh,A,line
2026,Electricity Rising,103.66,USD_per_MWh,A,line
2027,Electricity Rising,107.31,USD_per_MWh,A,line
2028,Electricity Rising,110.97,USD_per_MWh,A,line
2029,Electricity Rising,114.62,USD_per_MWh,A,line
2030,Electricity Rising,118.28,USD_per_MWh,A,line
2031,Electricity Rising,121.93,USD_per_MWh,A,line
2032,Electricity Rising,125.59,USD_per_MWh,A,line
2033,Electricity Rising,129.24,USD_per_MWh,A,line
2034,Electricity Rising,132.9,USD_per_MWh,A,line
2035,Electricity Rising,136.55,USD_per_MWh,A,line
2036,Electricity Rising,140.21,USD_per_MWh,A,line
2037,Electricity Rising,143.86,USD_per_MWh,A,line
2038,Electricity Rising,147.52,USD_per_MWh,A,line
2039,Electricity Rising,151.17,USD_per_MWh,A,line
2040,Electricity Rising,154.83,USD_per_MWh,A,line
2041,Electricity Rising,158.48,USD_per_MWh,A,line
2042,Electricity Rising,162.14,USD_per_MWh,A,line
2043,Electricity Rising,165.79,USD_per_MWh,A,line
2044,Electricity Rising,169.45,USD_per_MWh,A,line
2045,Electricity Rising,173.1,USD_per_MWh,A,line
2046,Electricity Rising,176.76,USD_per_MWh,A,line
2047,Electricity Rising,180.41,USD_per_MWh,A,line
2048,Electricity Rising,184.07,USD_per_MWh,A,line
2049,Electricity Rising,187.72,USD_per_MWh,A,line
2050,Electricity Rising,191.38,USD_per_MWh,A,line
2025,Electricity Flat,77.0,USD_per_MWh,A,line
2026,Electricity Flat,77.0,USD_per_MWh,A,line
2027,Electricity Flat,77.0,USD_per_MWh,A,line
2028,Electricity Flat,77.0,USD_per_MWh,A,line
2029,Electricity Flat,77.0,USD_per_MWh,A,line
2030,Electricity Flat,77.0,USD_per_MWh,A,line
2031,Electricity Flat,77.0,USD_per_MWh,A,line
2032,Electricity Flat,77.0,USD_per_MWh,A,line
2033,Electricity Flat,77.0,USD_per_MWh,A,line
2034,Electricity Flat,77.0,USD_per_MWh,A,line
2035,Electricity Flat,77.0,USD_per_MWh,A,line
