year,category,value,unit,figure_type
2025,Baseline,100.0,pct,stacked_area_pct
2026,Baseline,98.06549675279813,pct,stacked_area_pct
2027,Baseline,98.06549675279813,pct,stacked_area_pct
2028,Baseline,98.06549675279813,pct,stacked_area_pct
2029,Baseline,98.06549675279813,pct,stacked_area_pct
2030,Baseline,98.06549675279813,pct,stacked_area_pct
2031,Baseline,98.06549675279813,pct,stacked_area_pct
2032,Baseline,98.06549675279813,pct,stacked_area_pct
2033,Baseline,98.06549675279813,pct,stacked_area_pct
2034,Baseline,98.06549675279813,pct,stacked_area_pct
2035,Baseline,98.06549675279813,pct,stacked_area_pct
2036,Baseline,98.06549675279813,pct,stacked_area_pct
2037,Baseline,98.06549675279813,pct,stacked_area_pct
2038,Baseline,36.774561282299295,pct,stacked_area_pct
2039,Baseline,12.258187094099766,pct,stacked_area_pct
2040,Baseline,12.258187094099766,pct,stacked_area_pct
2041,Baseline,12.258187094099766,pct,stacked_area_pct
2042,Baseline,12.258187094099766,pct,stacked_area_pct
2043,Baseline,12.258187094099766,pct,stacked_area_pct
2044,Baseline,12.258187094099766,pct,stacked_area_pct
2045,Baseline,12.258187094099766,pct,stacked_area_pct
2046,Baseline,12.258187094099766,pct,stacked_area_pct
2047,Baseline,12.258187094099766,pct,stacked_area_pct
2048,Baseline,9.542973607848557,pct,stacked_area_pct
2049,Baseline,5.373428216111648,pct,stacked_area_pct
2050,Baseline,0.0,pct,stacked_area_pct
2025,Heat_Pump,0.0,pct,stacked_area_pct
2026,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2027,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2028,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2029,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2030,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2031,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2032,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2033,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2034,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2035,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2036,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2037,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2038,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2039,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2040,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2041,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2042,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2043,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2044,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2045,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2046,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2047,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2048,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2049,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2050,Heat_Pump,1.9345032472018793,pct,stacked_area_pct
2025,RDH,0.0,pct,stacked_area_pct
2026,RDH,0.0,pct,stacked_area_pct
2027,RDH,0.0,pct,stacked_area_pct
2028,RDH,0.0,pct,stacked_area_pct
2029,RDH,0.0,pct,stacked_area_pct
2030,RDH,0.0,pct,stacked_area_pct
2031,RDH,0.0,pct,stacked_area_pct
2032,RDH,0.0,pct,stacked_area_pct
2033,RDH,0.0,pct,stacked_area_pct
2034,RDH,0.0,pct,stacked_area_pct
2035,RDH,0.0,pct,stacked_area_pct
2036,RDH,0.0,pct,stacked_area_pct
2037,RDH,0.0,pct,stacked_area_pct
2038,RDH,61.29093547049883,pct,stacked_area_pct
2039,RDH,85.80730965869836,pct,stacked_area_pct
2040,RDH,85.80730965869836,pct,stacked_area_pct
2041,RDH,85.80730965869836,pct,stacked_area_pct
2042,RDH,85.80730965869836,pct,stacked_area_pct
2043,RDH,85.80730965869836,pct,stacked_area_pct
2044,RDH,85.80730965869836,pct,stacked_area_pct
2045,RDH,85.80730965869836,pct,stacked_area_pct
2046,RDH,85.80730965869836,pct,stacked_area_pct
2047,RDH,85.80730965869836,pct,stacked_area_pct
2048,RDH,88.52252314494956,pct,stacked_area_pct
2049,RDH,92.69206853668646,pct,stacked_area_pct
2050,RDH,98.06549675279813,pct,stacked_area_pct
