year,category,value,unit,figure_type
2025,Baseline,100.0,pct,stacked_area_pct
2026,Baseline,71.92450225257957,pct,stacked_area_pct
2027,Baseline,69.73550356052898,pct,stacked_area_pct
2028,Baseline,66.54737683476239,pct,stacked_area_pct
2029,Baseline,13.31383519837233,pct,stacked_area_pct
2030,Baseline,9.562563580874874,pct,stacked_area_pct
2031,Baseline,0.16531027466937942,pct,stacked_area_pct
2032,Baseline,0.16531027466937942,pct,stacked_area_pct
2033,Baseline,0.0,pct,stacked_area_pct
2034,Baseline,0.0,pct,stacked_area_pct
2035,Baseline,0.0,pct,stacked_area_pct
2036,Baseline,0.0,pct,stacked_area_pct
2037,Baseline,0.0,pct,stacked_area_pct
2038,Baseline,0.0,pct,stacked_area_pct
2039,Baseline,0.0,pct,stacked_area_pct
2040,Baseline,0.0,pct,stacked_area_pct
2041,Baseline,0.0,pct,stacked_area_pct
2042,Baseline,0.0,pct,stacked_area_pct
2043,Baseline,0.0,pct,stacked_area_pct
2044,Baseline,0.0,pct,stacked_area_pct
2045,Baseline,0.0,pct,stacked_area_pct
2046,Baseline,0.0,pct,stacked_area_pct
2047,Baseline,0.0,pct,stacked_area_pct
2048,Baseline,0.0,pct,stacked_area_pct
2049,Baseline,0.0,pct,stacked_area_pct
2050,Baseline,0.0,pct,stacked_area_pct
2025,NCC-H2,0.0,pct,stacked_area_pct
2026,NCC-H2,28.07549774742043,pct,stacked_area_pct
2027,NCC-H2,30.264496439471007,pct,stacked_area_pct
2028,NCC-H2,33.45262316523761,pct,stacked_area_pct
2029,NCC-H2,36.68616480162767,pct,stacked_area_pct
2030,NCC-H2,40.43743641912513,pct,stacked_area_pct
2031,NCC-H2,49.83468972533062,pct,stacked_area_pct
2032,NCC-H2,49.83468972533062,pct,stacked_area_pct
2033,NCC-H2,50.0,pct,stacked_area_pct
2034,NCC-H2,50.0,pct,stacked_area_pct
2035,NCC-H2,50.0,pct,stacked_area_pct
2036,NCC-H2,50.0,pct,stacked_area_pct
2037,NCC-H2,50.0,pct,stacked_area_pct
2038,NCC-H2,50.0,pct,stacked_area_pct
2039,NCC-H2,50.0,pct,stacked_area_pct
2040,NCC-H2,50.0,pct,stacked_area_pct
2041,NCC-H2,50.0,pct,stacked_area_pct
2042,NCC-H2,50.0,pct,stacked_area_pct
2043,NCC-H2,50.0,pct,stacked_area_pct
2044,NCC-H2,50.0,pct,stacked_area_pct
2045,NCC-H2,50.0,pct,stacked_area_pct
2046,NCC-H2,50.0,pct,stacked_area_pct
2047,NCC-H2,50.0,pct,stacked_area_pct
2048,NCC-H2,50.0,pct,stacked_area_pct
2049,NCC-H2,50.0,pct,stacked_area_pct
2050,NCC-H2,50.0,pct,stacked_area_pct
2025,NCC-Electricity,0.0,pct,stacked_area_pct
2026,NCC-Electricity,0.0,pct,stacked_area_pct
2027,NCC-Electricity,0.0,pct,stacked_area_pct
2028,NCC-Electricity,0.0,pct,stacked_area_pct
2029,NCC-Electricity,50.0,pct,stacked_area_pct
2030,NCC-Electricity,50.0,pct,stacked_area_pct
2031,NCC-Electricity,50.0,pct,stacked_area_pct
2032,NCC-Electricity,50.0,pct,stacked_area_pct
2033,NCC-Electricity,50.0,pct,stacked_area_pct
2034,NCC-Electricity,50.0,pct,stacked_area_pct
2035,NCC-Electricity,50.0,pct,stacked_area_pct
2036,NCC-Electricity,50.0,pct,stacked_area_pct
2037,NCC-Electricity,50.0,pct,stacked_area_pct
2038,NCC-Electricity,50.0,pct,stacked_area_pct
2039,NCC-Electricity,50.0,pct,stacked_area_pct
2040,NCC-Electricity,50.0,pct,stacked_area_pct
2041,NCC-Electricity,50.0,pct,stacked_area_pct
2042,NCC-Electricity,50.0,pct,stacked_area_pct
2043,NCC-Electricity,50.0,pct,stacked_area_pct
2044,NCC-Electricity,50.0,pct,stacked_area_pct
2045,NCC-Electricity,50.0,pct,stacked_area_pct
2046,NCC-Electricity,50.0,pct,stacked_area_pct
2047,NCC-Electricity,50.0,pct,stacked_area_pct
2048,NCC-Electricity,50.0,pct,stacked_area_pct
2049,NCC-Electricity,50.0,pct,stacked_area_pct
2050,NCC-Electricity,50.0,pct,stacked_area_pct
