year,category,value,unit,figure_type
2025,Baseline,100.0,pct,stacked_area_pct
2026,Baseline,100.0,pct,stacked_area_pct
2027,Baseline,100.0,pct,stacked_area_pct
2028,Baseline,100.0,pct,stacked_area_pct
2029,Baseline,100.0,pct,stacked_area_pct
2030,Baseline,100.0,pct,stacked_area_pct
2031,Baseline,100.0,pct,stacked_area_pct
2032,Baseline,50.0,pct,stacked_area_pct
2033,Baseline,50.0,pct,stacked_area_pct
2034,Baseline,50.0,pct,stacked_area_pct
2035,Baseline,47.31462086300796,pct,stacked_area_pct
2036,Baseline,45.89757017176372,pct,stacked_area_pct
2037,Baseline,42.06430666108085,pct,stacked_area_pct
2038,Baseline,39.58839547549225,pct,stacked_area_pct
2039,Baseline,37.3596564725597,pct,stacked_area_pct
2040,Baseline,34.87641390867197,pct,stacked_area_pct
2041,Baseline,32.91788856304985,pct,stacked_area_pct
2042,Baseline,27.931503979891076,pct,stacked_area_pct
2043,Baseline,24.44281524926686,pct,stacked_area_pct
2044,Baseline,18.848973607038122,pct,stacked_area_pct
2045,Baseline,15.769794721407623,pct,stacked_area_pct
2046,Baseline,9.939254294093004,pct,stacked_area_pct
2047,Baseline,6.566820276497695,pct,stacked_area_pct
2048,Baseline,3.9390448261416,pct,stacked_area_pct
2049,Baseline,1.2358609132802683,pct,stacked_area_pct
2050,Baseline,0.0,pct,stacked_area_pct
2025,NCC-H2,0.0,pct,stacked_area_pct
2026,NCC-H2,0.0,pct,stacked_area_pct
2027,NCC-H2,0.0,pct,stacked_area_pct
2028,NCC-H2,0.0,pct,stacked_area_pct
2029,NCC-H2,0.0,pct,stacked_area_pct
2030,NCC-H2,0.0,pct,stacked_area_pct
2031,NCC-H2,0.0,pct,stacked_area_pct
2032,NCC-H2,0.0,pct,stacked_area_pct
2033,NCC-H2,0.0,pct,stacked_area_pct
2034,NCC-H2,0.0,pct,stacked_area_pct
2035,NCC-H2,2.68537913699204,pct,stacked_area_pct
2036,NCC-H2,4.10242982823628,pct,stacked_area_pct
2037,NCC-H2,7.935693338919145,pct,stacked_area_pct
2038,NCC-H2,10.41160452450775,pct,stacked_area_pct
2039,NCC-H2,12.6403435274403,pct,stacked_area_pct
2040,NCC-H2,15.123586091328026,pct,stacked_area_pct
2041,NCC-H2,17.082111436950147,pct,stacked_area_pct
2042,NCC-H2,22.068496020108924,pct,stacked_area_pct
2043,NCC-H2,25.557184750733136,pct,stacked_area_pct
2044,NCC-H2,31.151026392961878,pct,stacked_area_pct
2045,NCC-H2,34.23020527859237,pct,stacked_area_pct
2046,NCC-H2,40.060745705906996,pct,stacked_area_pct
2047,NCC-H2,43.4331797235023,pct,stacked_area_pct
2048,NCC-H2,46.060955173858396,pct,stacked_area_pct
2049,NCC-H2,48.76413908671973,pct,stacked_area_pct
2050,NCC-H2,50.0,pct,stacked_area_pct
2025,NCC-Electricity,0.0,pct,stacked_area_pct
2026,NCC-Electricity,0.0,pct,stacked_area_pct
2027,NCC-Electricity,0.0,pct,stacked_area_pct
2028,NCC-Electricity,0.0,pct,stacked_area_pct
2029,NCC-Electricity,0.0,pct,stacked_area_pct
2030,NCC-Electricity,0.0,pct,stacked_area_pct
2031,NCC-Electricity,0.0,pct,stacked_area_pct
2032,NCC-Electricity,50.0,pct,stacked_area_pct
2033,NCC-Electricity,50.0,pct,stacked_area_pct
2034,NCC-Electricity,50.0,pct,stacked_area_pct
2035,NCC-Electricity,50.0,pct,stacked_area_pct
2036,NCC-Electricity,50.0,pct,stacked_area_pct
2037,NCC-Electricity,50.0,pct,stacked_area_pct
2038,NCC-Electricity,50.0,pct,stacked_area_pct
2039,NCC-Electricity,50.0,pct,stacked_area_pct
2040,NCC-Electricity,50.0,pct,stacked_area_pct
2041,NCC-Electricity,50.0,pct,stacked_area_pct
2042,NCC-Electricity,50.0,pct,stacked_area_pct
2043,NCC-Electricity,50.0,pct,stacked_area_pct
2044,NCC-Electricity,50.0,pct,stacked_area_pct
2045,NCC-Electricity,50.0,pct,stacked_area_pct
2046,NCC-Electricity,50.0,pct,stacked_area_pct
2047,NCC-Electricity,50.0,pct,stacked_area_pct
2048,NCC-Electricity,50.0,pct,stacked_area_pct
2049,NCC-Electricity,50.0,pct,stacked_area_pct
2050,NCC-Electricity,50.0,pct,stacked_area_pct
