scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_rising_coupled,2025,Daesan,17217485.657279864,17217485.657279864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9752183.842566231,0.0
shaheen_ncc_h2_rising_coupled,2025,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15277933.230763266,0.0
shaheen_ncc_h2_rising_coupled,2025,Ulsan,19244286.3271435,19244286.3271435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13261121.675682966,0.0
shaheen_ncc_h2_rising_coupled,2025,Other,375812.18112740014,375812.18112740014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476689.4581816963,0.0
shaheen_ncc_h2_rising_coupled,2026,Daesan,19800108.505871844,14204124.786110707,5405239.607079938,5.405239607079938,994013999.9999999,3548508024.7058597,39760559.99999999,39760559.99999999,3790515850.8910065,321528946.18514705,12935311.78725192,591675.0
shaheen_ncc_h2_rising_coupled,2026,Yeosu,25771247.357066404,22629175.078923512,2838670.0521535464,2.8386700521535464,522026400.0,1863570200.7298799,20881056.0,20881056.0,1990665467.2706509,168857378.54077113,18473073.476825494,310730.0
shaheen_ncc_h2_rising_coupled,2026,Ulsan,22130929.276215024,17709084.85290699,4160984.1039243587,4.160984103924359,793665599.9999999,2562144828.1620345,32380319.999999993,31112927.999999993,2835421031.382102,336769451.22006774,17001857.65198724,434699.9999999999
shaheen_ncc_h2_rising_coupled,2026,Other,432184.00829651015,422645.4522382944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_coupled,2027,Daesan,19800108.505871844,13979050.361012524,5439569.919496927,5.439569919496927,952596749.9999999,3602111207.513857,38103869.99999999,38103869.99999999,3847432413.6990037,321528946.18514705,12935311.78725192,591675.0
shaheen_ncc_h2_rising_coupled,2027,Yeosu,25771247.357066404,22307743.600426752,2856699.304660972,2.8566993046609723,500275300.0,1891720987.8916311,20011012.0,20011012.0,2020556342.4324021,168857378.54077113,18473073.476825494,310730.0
shaheen_ncc_h2_rising_coupled,2027,Ulsan,22130929.276215024,17413252.529762406,4195956.107685254,4.195956107685254,760918199.9999999,2603121294.943684,31047239.999999993,29826215.999999993,2879017290.1637516,336769451.22006774,17001857.65198724,434699.9999999999
shaheen_ncc_h2_rising_coupled,2027,Other,432184.00829651015,413106.8961800786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_coupled,2028,Daesan,19800108.505871844,12119478.011757314,7112346.55983373,7.112346559833729,1183913500.0,4747643937.0154295,47356540.0,47356540.0,5070699759.881845,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_coupled,2028,Yeosu,25771247.357066404,21986312.12192999,2874728.5571683985,2.8747285571683987,478524200.0,1918942994.4376497,19140968.0,19140968.0,2049518436.978421,168857378.54077113,18473073.476825494,310730.0
shaheen_ncc_h2_rising_coupled,2028,Ulsan,22130929.276215024,17117420.20661783,4230928.11144615,4.23092811144615,728170799.9999999,2642803308.066036,29714159.999999993,28539503.999999993,2921319095.2861037,336769451.22006774,17001857.65198724,434699.9999999999
shaheen_ncc_h2_rising_coupled,2028,Other,432184.00829651015,403568.34012186277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
shaheen_ncc_h2_rising_coupled,2029,Daesan,19800108.505871844,11885443.981475657,7156952.612021791,7.156952612021791,1130099250.0,4810076992.248213,45203970.0,45203970.0,5137437955.114629,417768902.8664156,13450231.625382759,768775.0
shaheen_ncc_h2_rising_coupled,2029,Yeosu,25771247.357066404,19827196.315170657,4736328.849002904,4.736328849002904,747877199.9999999,3183213255.603006,29915088.0,29915088.0,3399854227.8873773,276471148.2843714,19048847.47764452,508760.0
shaheen_ncc_h2_rising_coupled,2029,Ulsan,22130929.276215024,16821587.88347325,4265900.115207044,4.265900115207044,695423399.9999999,2679700305.1718764,28381079.999999993,27252791.999999993,2960835884.3919444,336769451.22006774,17001857.65198724,434699.9999999999
shaheen_ncc_h2_rising_coupled,2029,Other,432184.00829651015,394029.7840636471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548192.8769089505,0.0
